grupo,nome_grupo,n_variaveis,variaveis_com_log,modelo,nome_modelo,k,menor_cluster,silhueta,davies_bouldin,calinski_harabasz,inercia
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,4,77,0.24819651490972863,1.4357196607784533,187.78225803042176,2258.862508030886
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,5,62,0.18408584342185022,1.4848978562568036,174.63187482026092,2036.3259706626845
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,6,41,0.19107436812566167,1.4458668340695784,166.57238792193488,1854.2523109628887
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,7,39,0.18989089519912175,1.4011935156137831,154.6854644582813,1743.0120717249772
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,8,28,0.1824113920732758,1.4410789173408012,146.9409553570983,1639.0605645316687
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,9,27,0.17503866455988118,1.4369577060566923,141.1360305035818,1546.5298992646676
E,Mercado + risco + concorrência + demanda,6,3,kmeans,KMeans,10,20,0.18393017144263374,1.3851539281415919,136.3541579505163,1465.5038513602085
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),2,299,0.2073688142893295,1.806463094014655,180.17698186551203,
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),3,76,0.20135528608778822,1.7533840284730282,143.9042372394656,
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),4,76,0.13500459336355128,1.6824237964450472,137.96005128283352,
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),5,23,0.14912326687917135,1.6097631593740254,133.9818036250598,
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),6,18,0.16518129754408378,1.4393193872638965,134.01078093302465,
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),7,18,0.1308768164841775,1.4721100068380863,126.26325475484141,
E,Mercado + risco + concorrência + demanda,6,3,ward,Aglomerativo (Ward),8,18,0.12198426180322287,1.4947756975612947,120.54326160772808,
